flask,fish,population,dpf,treatment,snv,ed,sbl,sba,il1bcq1,il1bcq2,il1bcq3,il1bmean_cq,il1bmean_efficiency_cq,il1bnormalized_expression,il1brelative_normalized_expression,il1bsqrtexpression,il1blogexpression,il1bregulation,il1bcompared_to_regulation_threshold,il1bp-value,il1bexceeds_p-value_threshold,tnfcq1,tnfcq2,tnfcq3,tnfmean_cq,tnfmean_efficiency_cq,tnfnormalized_expression,tnfrelative_normalized_expression,tnfsqrtexpression,tnflogexpression,tnfregulation,tnfcompared_to_regulation_threshold,tnfp-value,tnfexceeds_p-value_threshold,plate,run_date
A3,8,BP,28,oil,4.87,0.76,1.02,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3,9,BP,28,oil,4.86,0.77,1.02,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3,10,BP,28,oil,5.15,0.78,1.19,0.3,24.45597692,24.3826696,24.43226291,24.42363647,24.42363647,4.357047694,2.771088409,1.664658646,0.442650382,2.771088409,No change,2.19E-06,No,24.18736714,24.1149358,24.18310561,24.16180285,24.16180285,5.224107301,2.343983236,1.531007262,0.369954501,2.343983236,No change,8.58E-06,No,2,8/22/19
A3,11,BP,28,oil,5.54,0.86,1.19,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3,12,BP,28,oil,4.88,0.75,1.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4,1,BP,28,oil,5.07,0.84,0.99,0.3,22.34839463,22.38796644,22.38721516,22.37452541,22.37452541,8.857693544,2.810956833,1.676590836,0.448854176,2.810956833,No change,1.70E-06,No,22.76673371,22.61672444,22.80920043,22.73088619,22.73088619,6.919032429,2.232542045,1.49416935,0.348799647,2.232542045,No change,0.000560064,No,4,8/26/19
A4,2,BP,28,oil,5.42,0.81,1.18,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4,3,BP,28,oil,4.56,0.77,0.98,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4,4,BP,28,oil,6.12,0.88,1.44,0.5,25.92713031,26.00181012,26.0422013,25.99038058,25.99038058,1.51444462,1,1,0,1,No change,NAN,No,NAN,25.99418956,26.23849121,26.11634038,26.11634038,1.38782823,1,1,0,1,No change,NAN,No,3,8/26/19
A4,5,BP,28,oil,6.55,0.89,1.51,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4,6,BP,28,oil,6.01,0.92,1.43,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4,7,BP,28,oil,5.87,0.91,1.43,0.5,24.77794915,24.92952018,24.79107155,24.83284696,24.83284696,3.151131117,1,1,0,1,No change,NAN,No,24.63314215,24.93642081,25.00093841,24.85683379,24.85683379,3.099172284,1,1,0,1,No change,NAN,No,4,8/26/19
A4,8,BP,28,oil,5.93,0.91,1.43,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4,9,BP,28,oil,6.36,0.95,1.52,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4,10,BP,28,oil,6.6,0.93,1.53,0.5,25.59114235,25.59553755,25.56644437,25.58437475,25.58437475,2.413402647,0.095898841,0.30967538,-1.018186642,-10.42765467,Down regulated,2.34E-07,No,25.89170473,25.93348171,25.93995536,25.92171393,25.92171393,1.91020762,0.102654297,0.320397093,-0.988622867,-9.741433419,Down regulated,9.24E-07,No,1,8/22/19
A4,11,BP,28,oil,5,0.79,1.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4,12,BP,28,oil,6.59,0.94,1.46,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5,1,BP,28,control,5.87,0.88,1.41,0.5,25.22352013,25.1064706,25.13341071,25.15446715,25.15446715,2.2944392,0.091171716,0.301946545,-1.040139871,-10.96831391,Down regulated,2.42E-07,No,25.08174921,25.04746411,25.02648302,25.05189878,25.05189878,2.463500813,0.132388198,0.36385189,-0.878150729,-7.553543415,Down regulated,1.06E-06,No,1,8/22/19
A5,2,BP,28,control,6.82,0.96,1.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5,3,BP,28,control,5.96,0.86,1.44,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5,4,BP,28,control,6.47,0.92,1.61,0.6,22.84039372,22.7598407,22.77808885,22.79277442,22.79277442,16.63234353,10.57819367,3.252413515,1.024411514,10.57819367,Up regulated,7.15E-07,No,22.83886194,22.83696529,22.8537787,22.84320197,22.84320197,16.06102438,7.206355027,2.684465501,0.857715654,7.206355027,Up regulated,7.86E-09,No,2,8/22/19
A5,5,BP,28,control,5.72,0.86,1.22,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5,6,BP,28,control,5.84,0.88,1.32,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5,7,BP,28,control,6.55,0.93,1.61,0.6,23.17254928,23.22740148,23.17303247,23.19099441,23.19099441,13.84414536,9.141400868,3.023474966,0.961012754,9.141400868,Up regulated,2.56E-07,No,23.20447669,23.35963001,23.35995657,23.30802109,23.30802109,12.76549356,9.198179782,3.032850109,0.963701894,9.198179782,Up regulated,NAN,No,3,8/26/19
A5,8,BP,28,control,5.7,0.87,1.23,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5,9,BP,28,control,6.18,0.92,1.29,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5,10,BP,28,control,5.54,0.85,1.19,0.4,23.4988619,23.58878526,23.4486616,23.51210292,23.51210292,16.290752,10.75691497,3.279773616,1.031687736,10.75691497,Up regulated,5.65E-06,No,23.71762484,23.77559111,24.0196712,23.83762905,23.83762905,13.0001392,9.367253759,3.060596961,0.971612285,9.367253759,Up regulated,NAN,No,3,8/26/19
A5,11,BP,28,control,5.71,0.85,1.17,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5,12,BP,28,control,6.02,0.9,1.38,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6,1,BP,28,control,4.6,0.74,1.07,0.4,22.95347726,22.90463463,23.02420741,22.9607731,22.9607731,11.42025853,7.540888838,2.746067887,0.877422539,7.540888838,Up regulated,3.60E-06,No,22.60743108,22.74012604,23.0192135,22.78892354,22.78892354,12.86494127,9.269836853,3.044640677,0.967072091,9.269836853,Up regulated,NAN,No,3,8/26/19
A6,2,BP,28,control,5.58,0.85,1.41,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6,3,BP,28,control,5.22,0.79,1.35,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6,4,BP,28,control,5.22,0.82,1.19,0.4,23.74385957,23.75365546,23.64251135,23.71334212,23.71334212,8.385533526,5.333211015,2.309374594,0.726988767,5.333211015,Up regulated,5.37E-06,No,23.70751871,23.82626631,23.82122985,23.78500496,23.78500496,7.979175863,3.580143627,1.892126747,0.55390045,3.580143627,No change,1.39E-05,No,2,8/22/19
A6,5,BP,28,control,5.53,0.86,1.32,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6,6,BP,28,control,5.98,0.9,1.44,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6,7,BP,28,control,5.94,0.88,1.28,0.5,22.02614687,22.08946068,22.06050945,22.05870567,22.05870567,25.16612938,1,1,0,1,No change,NAN,No,22.54412791,22.45794125,22.48069157,22.49425358,22.49425358,18.60816034,1,1,0,1,No change,NAN,No,1,8/22/19
A6,8,BP,28,control,5.54,0.85,1.21,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6,9,BP,28,control,4.72,0.75,0.93,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6,10,BP,28,control,5.94,0.86,1.24,0.5,26.22086522,26.19883499,26.26245247,26.22738423,26.22738423,1.572323597,1,1,0,1,No change,NAN,No,25.73354012,25.65448234,25.78415788,25.72406011,25.72406011,2.228730658,1,1,0,1,No change,NAN,No,2,8/22/19
A6,11,BP,28,control,5.97,0.9,1.37,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6,12,BP,28,control,6.44,0.9,1.44,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
